Source,Destination,Weight
C5203670,C0581381,10.0
C5203670,C0729531,10.0
C5203670,C1185740,37.0
C5203670,C5202577,90.0
C5203670,C0238190,25.0
C5203670,C0185112,10.0
C5203670,C0005854,5.0
C5203670,C0872333,5.0
C5203670,C0474496,3.0
C5203670,C1836672,31.0
C5203670,C3640008,3.0
C5203670,C0019112,33.0
C5203670,C3669031,1.0
C5203670,C0337279,18.0
C5203670,C1533163,16.0
C5203670,C0018939,16.0
C5203670,C0543829,5.0
C5203670,C0199822,5.0
C5203670,C0035139,62.0
C5203670,C0041296,6.0
C5203670,C1273412,1.0
C5203670,C0271240,1.0
C5203670,C4085595,10.0
C5203670,C0222045,10.0
C5203670,C0199798,10.0
C5203670,C0343537,5.0
C5203670,C4290000,2.0
C5203670,C4551552,71.0
C5203670,C1096184,2.0
C5203670,C3280586,14.0
C5203670,C0004610,14.0
C5203670,C0189381,14.0
C5203670,C0035849,23.0
C5203670,C0023976,14.0
C5203670,C4552766,28.0
C5203670,C0000809,14.0
C5203670,C0042149,14.0
C5203670,C0419780,1.0
C5203670,C0020974,1.0
C5203670,C0150259,1.0
C5203670,C3686591,1.0
C5203670,C4724550,1.0
C5203670,C0150234,8.0
C5203670,C0085110,4.0
C5203670,C0026691,4.0
C5203670,C0268124,4.0
C5203670,C2939465,4.0
C5203670,C0019360,214.0
C5203670,C0348217,21.0
C5203670,C0022890,1.0
C5203670,C0022893,1.0
C5203670,C0687028,21.0
C5203670,C1145670,3.0
C5203670,C0162434,3.0
C5203670,C0010232,2.0
C5203670,C0039128,1.0
C5203670,C1567676,1.0
C5203670,C0230048,6.0
C5203670,C1517205,185.0
C5203670,C0006625,5.0
C5203670,C0522772,24.0
C5203670,C0023530,34.0
C5203670,C0040861,18.0
C5203670,C0276289,5.0
C5203670,C0011119,19.0
C5203670,C0312422,2.0
C5203670,C3276706,16.0
C5203670,C0023646,4.0
C5203670,C0014804,8.0
C5203670,C0851189,4.0
C5203670,C0853813,4.0
C5203670,C0230460,4.0
C5203670,C4303579,4.0
C5203670,C0239649,4.0
C5203670,C1535939,1154.0
C5203670,C3536743,4.0
C5203670,C1720830,38.0
C5203670,C0033770,38.0
C5203670,C0027796,10.0
C5203670,C0040732,1901.0
C5203670,C1623038,34.0
C5203670,C0023890,34.0
C5203670,C0394477,4.0
C5203670,C0241044,4.0
C5203670,C2337074,4.0
C5203670,C0206948,8.0
C5203670,C0518214,54.0
C5203670,C0850060,8.0
C5203670,C0877716,4.0
C5203670,C0280109,4.0
C5203670,C1879715,4.0
C5203670,C0040440,4.0
C5203670,C0005961,15.0
C5203670,C0001701,21.0
C5203670,C0058928,13.0
C5203670,C0524865,42.0
C5203670,C1561643,25.0
C5203670,C0454306,12.0
C5203670,C0085631,15.0
C5203670,C3887611,15.0
C5203670,C0086511,24.0
C5203670,C0917805,24.0
C5203670,C0007787,24.0
C5203670,C0018823,73.0
C5203670,C0678236,15.0
C5203670,C0280547,15.0
C5203670,C0029216,48.0
C5203670,C0524930,33.0
C5203670,C0010692,15.0
C5203670,C0600041,15.0
C5203670,C0022671,202.0
C5203670,C1318453,15.0
C5203670,C0040746,15.0
C5203670,C0023911,365.0
C5203670,C0521304,15.0
C5203670,C0849759,15.0
C5203670,C1527075,27.0
